document_key,Region,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Model,Source_lang
JAAC-WHE-100-EUA1_EU,EU,TRUE,specifications,GENERAL,1,1,product_name,,Product Name,,1,,,Jackery Foldable Trolley,,JAAC-WHE-100-EUA1,en
JAAC-WHE-100-EUA1_EU,EU,TRUE,specifications,GENERAL,1,2,model_no,,Model,,1,,,JAAC-WHE-100-EUA1,,JAAC-WHE-100-EUA1,en
JAAC-WHE-100-EUA1_EU,EU,TRUE,specifications,GENERAL,1,3,material,,Material,,1,,,Aluminum Tube + Iron Tube,,JAAC-WHE-100-EUA1,en
JAAC-WHE-100-EUA1_EU,EU,TRUE,specifications,GENERAL,1,4,maximum_load,,Maximum Load,,1,,,80 kg,,JAAC-WHE-100-EUA1,en
JAAC-WHE-100-EUA1_EU,EU,TRUE,specifications,GENERAL,1,5,weight,,Weight,,1,,,Approx. 4 kg,,JAAC-WHE-100-EUA1,en
JAAC-WHE-100-EUA1_EU,EU,TRUE,specifications,GENERAL,1,6,unfolded_dimensions,,Unfolded Dimensions,,1,,,Approx. 94x50x40cm,,JAAC-WHE-100-EUA1,en
JAAC-WHE-100-EUA1_EU,EU,TRUE,specifications,GENERAL,1,7,folded_dimensions,,Folded Dimensions,,1,,,Approx. 50x50x25cm,,JAAC-WHE-100-EUA1,en
