No.,Model,Is_latest,Version,icon_en,icon_zh,icon_jp,icon_fr,icon_es,icon_pt-BR,icon_br,icon_de,icon_it,icon_ukr,icon_desc_en,icon_desc_zh,icon_desc_jp,icon_desc_fr,icon_desc_es,icon_desc_pt-BR,icon_desc_br,icon_desc_de,icon_desc_it,icon_desc_ukr,has_variables,variable_keys,figure,render_preview_en,icon_ko,icon_desc_ko
1,JBP-2000B,TRUE,V1.0,Power Percentage/Fault Code,,バッテリー残量（%）/エラーコード,Pourcentage de puissance/code d’erreur,Porcentaje de potencia/Código de fallo,,,Leistungsprozentanzeige/Fehlercode,Percentuale di potenza/Codice di errore,Відсоток заряду/код помилки,"The display shows the current power percentage.
When the system fails, it will be displayed as the corresponding fault code F0-FF.",,バッテリー残量（%）のところに現在の電力値が表示されますが、システム障害が発生した場合、エラーコードの「F0-FF」と表示されます。しばらく本製品を放置した後、自動的に回復することができますが、回復しない場合は、カスタマーサービスにご連絡ください。他のエラーコードが表示された場合はカスタマーサービスにご連絡ください。,"L’affichage de la puissance représente le pourcentage de la valeur actuelle de la puissance. En cas de défaillance du système, le code d’erreur correspondant (F0-FF) s’affiche. Si le code FF s’affiche, retirez la charge et le dispositif peut se rétablir de lui-même. Si ce n'est pas le cas, veuillez contacter le service à la clientèle de Jackery. Si un autre code apparaît, veuillez contacter notre service à la clientèle.","La potencia muestra el porcentaje del valor de potencia actual. Cuando el sistema falla, se mostrará el correspondiente código de fallo F0-FF. Si aparece el código FF, retire la carga y el producto podrá recuperarse por sí mismo, si no, por favor contacte con atención al cliente de Jackery. En caso de que aparezca cualquier otro código, por favor contacte con atención al cliente.",,,"Die Anzeige zeigt den aktuellen Akkustand in Prozent an.
Bei einem Systemfehler wird der entsprechende Fehlercode F0-FF angezeigt.","Il display mostra la percentuale di carica attuale.
In caso di guasto del sistema, verrà visualizzato il codice di errore corrispondente F0-FF.","На дисплеї відображається поточний рівень заряду.
У разі збою відображається відповідний код несправності F0-FF.",FALSE,,,,,
2,JBP-2000B,TRUE,V1.0,Charging Indicator,,充電マーク,Témoin de charge,Indicador de carga,,,Ladeanzeige,Indicatore di carica,Індикатор заряджання,The indicator is displayed when charging and disappears when it is fully charged.,,充電のための接続が行われると、このマークが表示され、満充電になると消えます。,Le témoin s’affiche pendant la charge et disparaît lorsque l’appareil est complètement chargé.,Durante la carga se muestra el indicador y desaparece cuando está completamente cargado.,,,"Die Anzeige wird während des Ladevorgangs angezeigt und verschwindet, wenn das Gerät vollständig aufgeladen ist.",L'indicatore viene visualizzato durante la carica e scompare quando è completamente carico.,Індикатор відображається під час заряджання та зникає після повного заряджання.,FALSE,,,,,
