spec_row_key,document_key,Model,Region,Source_lang,Version,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Param_es,Value_es,Row_label_br,Param_br,Value_br,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Row_label_ko,Param_ko,Value_ko
JE-1000F_EU__v1.0__Product_overview__s02__r02__ac_input__side.spec__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,INPUT PORTS,2,2,ac_input,side.spec,AC Input,,1,,,"220 V-240 V~ 50 Hz, 10 A max.",,,,"220 V-240 V~ 50 Hz, 10 A max.",,,"220 V-240 V~ 50 Hz, 10 A máx.",AC Input,,,,,"220 V-240 V~ 50 Hz, 10 A max.",,,"220 V-240 V~ 50 Hz, 10 A max.",,,"220 В-240 В~ 50 Гц, 10A макс.",,,
JE-1000F_EU__v1.0__Product_overview__s03__r01__dc12_port__front.label__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.label,DC 12V Port,,1,,,DC 12 V Port,,,,Port 12 V CC,,,Puerto DC 12 V,DC 12V Port,,,,,12-V-DC-Anschluss,,,Porta 12 V CC,,,Порт DC 12 В,,,
JE-1000F_EU__v1.0__Product_overview__s03__r01__dc12_port__front.spec__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,1,dc12_port,front.spec,DC 12V Port,,1,,,12 V⎓10 A max.,,,,12 V⎓10 A max.,,,12 V⎓10 A máx.,DC 12V Port,,,,,12 V⎓10 A max.,,,12 V⎓10 A max.,,,12 В⎓10 А макс.,,,
JE-1000F_EU__v1.0__Product_overview__s03__r02__usb_c__front.high.label__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.label,USB-C 100W Output,,1,,,USB-C 100 W Output,,,,Sortie USB-C 100 W,,,Salida USB-C de 100 W,USB-C 100W Output,,,,,USB-C 100 W-Ausgang,,,Uscita USB-C da 100 W,,,Вихід USB-C 100 Вт,,,
JE-1000F_EU__v1.0__Product_overview__s03__r02__usb_c__front.high.spec__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.high.spec,USB-C 100W Output,,1,,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,"100 W máx., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",USB-C 100W Output,,,,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,"100 Вт макс., 5 В⎓3 A, 9 В⎓3 A, 12 В⎓3 A, 15 В⎓3 A, 20 В⎓5 A",,,
JE-1000F_EU__v1.0__Product_overview__s03__r02__usb_c__front.low.label__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.label,USB-C 30W Output,,1,,,USB-C 30 W Output,,,,Sortie USB-C 30 W,,,Salida USB-C de 30 W,USB-C 30W Output,,,,,USB-C 30 W-Ausgang,,,Uscita USB-C 30 W,,,Вихід USB-C 30 Вт,,,
JE-1000F_EU__v1.0__Product_overview__s03__r02__usb_c__front.low.spec__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,2,usb_c,front.low.spec,USB-C 30W Output,,1,,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2.5 A, 15 V⎓2 A, 20 V⎓1.5 A",,,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30 W máx., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",USB-C 30W Output,,,,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,"30 Вт макс., 5 В⎓3 A, 9 В⎓3 A, 12 В⎓2,5 A, 15 В⎓2 A, 20 В⎓1,5 A",,,
JE-1000F_EU__v1.0__Product_overview__s03__r03__usb_a__front.label__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.label,USB-A 18W Output,,1,,,USB-A 18 W Output,,,,USB-A 18 W Sortie,,,Salida USB-A 18 W,USB-A 18W Output,,,,,USB-A 18 W-Ausgang,,,Uscita USB-A 18 W,,,Вихід USB-A 18 Вт,,,
JE-1000F_EU__v1.0__Product_overview__s03__r03__usb_a__front.spec__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,3,usb_a,front.spec,USB-A 18W Output,,1,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1.5 A",,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18 W máx., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",USB-A 18W Output,,,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,"18 Вт макс., 5-6 В⎓3 A, 6-9 В⎓2 A, 9-12 В⎓1,5 A",,,
JE-1000F_EU__v1.0__Product_overview__s03__r04__ac_output__front.label__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.label,AC Output,,1,,,AC Output,,,,Sortie CA,,,Salida de CA,AC Output,,,,,AC-Ausgang,,,Uscita CA,,,Вихід змінного струму,,,
JE-1000F_EU__v1.0__Product_overview__s03__r04__ac_output__front.spec__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,4,ac_output,front.spec,AC Output,,1,,,"230 V~ 50 Hz, 6.5 A max., 1500 W Rated",,,,"230 V~ 50 Hz, 6,5 A max., 1500 W Nominal",,,"230 V~ 50 Hz, 6,5 A máx., 1500 W Nominal",AC Output,,,,,"230 V~ 50 Hz, 6,5 A max., 1500 W Nennleistung",,,"230 V~ 50 Hz, 6,5 A max., 1500 W nominali",,,"230 В~ 50 Гц, 6,5 A макс., 1500 Вт ном. потужності",,,
JE-1000F_EU__v1.0__Product_overview__s03__r05__total_output__front.label__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,5,total_output,front.label,Total Output,,1,,,Total Output,,,,Sortie totale,,,Salida Total,Total Output,,,,,Gesamtausgang,,,Uscita totale,,,Загальна вихідна потужність,,,
JE-1000F_EU__v1.0__Product_overview__s03__r05__total_output__front.spec__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,OUTPUT PORTS,3,5,total_output,front.spec,Total Output,,1,,,"1500 W Rated, 3000 W Surge Peak",,,,"1500 W Nominal, 3000 W crête",,,"1500 W de potencia nominal, 3000 W de pico de sobrecarga",Total Output,,,,,"1500 W Nennleistung, 3000 W Spitzenleistung (Surge)",,,"1500 W nominali, 3000 W di picco",,,"Номінальна потужність 1500 Вт, пікова потужність 3000 Вт",,,
JE-1000F_EU__v1.0__Product_overview__s07__r01__main_power_button__label__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,CONTROLS,7,1,main_power_button,label,Power Button,,1,,,POWER Button,,,,Bouton POWER,,,Botón POWER,Power Button,,,,,Haupt-POWER-Taste,,,Pulsante POWER principale,,,Головна кнопка POWER,,,
JE-1000F_EU__v1.0__Product_overview__s07__r02__dc_usb_power_button__label__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,CONTROLS,7,2,dc_usb_power_button,label,DC/USB Power Button,,1,,,DC / USB Power Button,,,,Bouton d'alimentation DC / USB,,,Botón de encendido de energía DC / USB,DC/USB Power Button,,,,,DC / USB-Einschalttaste,,,Pulsante di alimentazione DC / USB,,,Кнопка POWER DC / USB,,,
JE-1000F_EU__v1.0__Product_overview__s07__r03__ac_power_button__label__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,Product overview,CONTROLS,7,3,ac_power_button,label,AC Power Button,,1,,,AC Power Button,,,,Bouton CA,,,Botón CA,AC Power Button,,,,,AC-Einschalttaste,,,Pulsante CA,,,Кнопка AC,,,
JE-1000F_EU__v1.0__specifications__s01__r01__product_name__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,1,product_name,,Product Name,,1,,,Jackery Explorer 1000,,Nom du produit,,Jackery Explorer 1000,Nombre del producto,,Jackery Explorer 1000,,,,Produktname,,Jackery Explorer 1000,Nome del prodotto,,Jackery Explorer 1000,Назва продукту,,Jackery Explorer 1000,,,
JE-1000F_EU__v1.0__specifications__s01__r02__model_no__main__l02,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,2,model_no,,Model No.,,2,,,JE-1000F,,N° de modèle,,JE-1000F,N° de modelo,,JE-1000F,,,,Modellnummer,,JE-1000F,Numero di modello,,JE-1000F,Номер моделі,,JE-1000F,,,
JE-1000F_EU__v1.0__specifications__s01__r03__capacity__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,3,capacity,,Capacity,,1,,,1024 Wh (20 Ah / 51.2 V DC),,Capacité,,"1024 Wh (20 Ah / 51,2 V CC)",Capacidad,,"1024 Wh (20 Ah / 51,2 V CC)",,,,Kapazität,,"1024 Wh (20 Ah / 51,2 V DC)",Capacità,,"20 Ah / 51,2 V DC (1024 Wh)",Ємність,,"1024 Вт-год (20 A-год / 51,2 В постійного струму)",,,
JE-1000F_EU__v1.0__specifications__s01__r04__cell_chemistry__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,4,cell_chemistry,,Cell Chemistry,,1,,,LiFePO₄,,Cellule Chimique,,LiFePO₄,Química Celular,,LiFePO₄,,,,Zellchemie,,LiFePO₄,Chimica delle celle,,LiFePO₄,Хімічний склад акумуляторних елементів,,LiFePO₄,,,
JE-1000F_EU__v1.0__specifications__s01__r05__weight__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,5,weight,,Weight,,1,,,About 10.6 kg,,Poids,,"Environ 10,6 kg",Peso,,"Aproximadamente 10,6 kg",,,,Gewicht,,"Etwa 10,6 kg",Peso,,"Circa 10,6 kg",Вага,,"Близько 10,6 кг",,,
JE-1000F_EU__v1.0__specifications__s01__r06__dimensions__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,6,dimensions,,Dimensions,,1,,,31.4 x 20.1 x 23.4 cm,,Dimensions,,"31,4 x 20,1 x 23,4 cm",Dimensiones,,"31,4 x 20,1 x 23,4 cm",,,,Abmessungen,,"31,4 x 20,1 x 23,4 cm",Dimensioni,,"31,4 x 20,1 x 23,4 cm",Розміри,,"31,4 × 20,1 × 23,4 см",,,
JE-1000F_EU__v1.0__specifications__s01__r07__cycle_life__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,GENERAL INFO,1,7,cycle_life,,Cycle Life,,1,,,4000 cycles to 70%+ capacity,,Durée de vie,,Capacité de 4000 cycles à 70 % ou plus,Ciclo de vida,,4000 ciclos de carga hasta 70 % + de capacidad,,,,Zykluslebensdauer,,4000 Zyklen bei über 70 % Restkapazität,Durata del ciclo,,4000 cicli con capacità residua superiore al 70%,Ресурс циклів,,4000 циклів до 70%+ ємності,,,
JE-1000F_EU__v1.0__specifications__s02__r01__ac_input__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,INPUT PORTS,2,1,ac_input,,1 × AC Input,,1,Charge Mode,,"220 V-240 V~ 50 Hz, 10 A max.",,1 × Entrée CA,Mode de charge,"220 V-240 V~ 50 Hz, 10 A max.",1 × Entrada CA,Modo de carga,"220 V-240 V~ 50 Hz, 10 A máx.",,,,1 × AC-Eingang,Lademodus,"220-240 V~ 50 Hz, 10 A max.",1 × Ingresso CA,Modalità di ricarica,"220-240 V~ 50 Hz, 10 A max.",1 вхід змінного струму,Режим заряджання,"220 В-240 В~ 50 Гц, 10 A макс.",,,
JE-1000F_EU__v1.0__specifications__s02__r02__dc8020_ports__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,INPUT PORTS,2,2,dc8020_ports,,2 × DC8020 Ports,,1,,,"11 V-16 V⎓8 A max., Double to 8 A max.",,2 × Ports DC8020,,"11 V-16 V⎓8 A max., Double à 8 A max.",2 × Puertos DC8020,,"11 V-16 V⎓8 A máx., Doble a 8 A máx.",,,,2 × DC8020-Anschlüsse,,"11–16 V⎓8 A max., bei Verwendung beider Eingänge bis zu 8 A max.",2 porte DC8020,,"11 V-16 V⎓8 A max., fino a 8 A max. con doppio ingresso",2 порти DC8020,,"11–16 В⎓8 А макс., до 8 А макс. при використанні двох входів",,,
JE-1000F_EU__v1.0__specifications__s02__r02__dc8020_ports__main__l02,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,INPUT PORTS,2,2,dc8020_ports,,2 × DC8020 Ports,,2,,,"16 V-60 V⎓12 A max., Double to 21 A / 400 W max.",,2 × Ports DC8020,,"16 V-60 V⎓12 A max., Double à 21 A / 400 W max.",2 × Puertos DC8020,,"16 V-60 V⎓12 A, Doble hasta 21 A / 400 W máx.",,,,2 × DC8020-Anschlüsse,,"16–60 V⎓12 A max., bei Verwendung beider Eingänge bis zu 21 A / 400 W max.",2 porte DC8020,,"16 V-60 V⎓12 A, fino a 21 A / 400 W max. con doppio ingresso",2 порти DC8020,,"16–60 В⎓12 А макс., до 21 А макс. при використанні двох входів / 400 Вт макс.",,,
JE-1000F_EU__v1.0__specifications__s03__r01__ac_output__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,OUTPUT PORTS,3,1,ac_output,,2 × AC,,1,,,"230 V~ 50 Hz, 6.5 A max., 1500 W Rated per port, 1500 W in Total, 3000 W Surge Peak",,2 × Sorties CA,,"230 V~ 50 Hz, 6,5 A max., 1500 W nominal par port, 1500 W au total, 3000 W pointe de surtension",2 × Salidas CA,,"230 V~ 50 Hz, 6,5 A máx., 1500 W Nominal por puerto, 1500 W en Total, 3000 W Pico de sobrecarga",,,,2 × AC-Ausgänge,,"230 V~ 50 Hz, 6,5 A max., 1500 W Nennleistung pro Port, 1500 W insgesamt, 3000 W Spitzenleistung",2 × uscite CA,,"230 V~ 50 Hz, 6,5 A max., 1500 W nominali per porta, 1500 W totali, 3000 W di picco",2 виходи змінного струму,,"230 B~ 50 Гц, 6,5 A max., номінальна потужність 1500 Вт на порт, 1500 Вт загалом, пікова потужність 3000 Вт",,,
JE-1000F_EU__v1.0__specifications__s03__r02__ac_output_bypass__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,OUTPUT PORTS,3,2,ac_output_bypass,,AC Output in Bypass Mode,ac_bypass,1,,,"220 V-240 V~ 50 Hz, 1500 W",,Sortie CA en mode bypass,,"220 V-240 V~ 50 Hz, 1500 W",Salida de CA en modo bypass,,"220 V-240 V~ 50 Hz, 1500 W",,,,AC-Ausgang im Bypass-Modus,,"220 V-240 V~ 50 Hz, 1500 W",Uscita CA in modalità bypass,,"220 V-240 V~ 50 Hz, 1500 W",Вихід AC у режимі байпасу,,"220 B - 240 B~ 50 Гц, 1500 Вт",,,
JE-1000F_EU__v1.0__specifications__s03__r03__usb_c__100w__l02,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,OUTPUT PORTS,3,3,usb_c,100w,2 × USB-C,,2,,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,2 × Sortie USB-C,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",2 × Salidas USB-C,,"100 W máx., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,,2 × USB-C-Ausgang,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A (-10°C bis 45°C)",2 × Uscita USB-C,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A (da -10 °C a 45 °C)",2 виходи USB-C,,"100 Вт макс., 5 В⎓3 A, 9 В⎓3 A, 12 В⎓3 A, 15 В⎓3 A, 20 В⎓5 A",,,
JE-1000F_EU__v1.0__specifications__s03__r03__usb_c__30w__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,OUTPUT PORTS,3,3,usb_c,30w,2 × USB-C,,1,,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2.5 A, 15 V⎓2 A, 20 V⎓1.5 A",,2 × Sortie USB-C,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",2 × Salidas USB-C,,"30 W máx., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",,,,2 × USB-C-Ausgang,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",2 × Uscita USB-C,,"30 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A",2 виходи USB-C,,"30 Вт макс., 5 В⎓3 A, 9 В⎓3 A, 12 В⎓2,5 A, 15 В⎓2 A, 20 В⎓1,5 A",,,
JE-1000F_EU__v1.0__specifications__s03__r04__usb_a__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,OUTPUT PORTS,3,4,usb_a,,1 × USB-A,,1,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1.5 A",,1 × Sortie USB-A,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",1 × Salida USB-A,,"18 W máx., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",,,,1 × USB-A-Ausgang,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",1 × Uscita USB-A,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A",1 вихід USB-A,,"18 Вт макс., 5-6 В⎓3 А, 6-9 В⎓2 А, 9-12 В⎓1,5 А",,,
JE-1000F_EU__v1.0__specifications__s03__r05__dc12_port__main__l01,JE-1000F_EU,JE-1000F,EU,en,1.0,TRUE,specifications,OUTPUT PORTS,3,5,dc12_port,,1 × DC 12 V Port,,1,,,12 V⎓10 A max.,,1 × Port CC 12 V,,12 V⎓10 A max.,1 × Puerto DC 12 V,,12 V⎓10 A máx.,,,,1 × DC 12 V-Anschluss,,12 V⎓10 A max.,1 × Porta CC 12 V,,12 V⎓10 A max.,1 × порт DC 12 В,,12 В⎓10 А макс.,,,
