Footnote_id,Region,Model,Source_lang,Is_Latest,Page,Footnote_order,Type,Text_en,Text_fr,Text_es,Text_pt-BR,pt-BR,Text_ja,Text_zh,Text_de,Text_it,Text_uk,Enabled
ac_bypass,EU,JE-3600A,en,TRUE,specifications,1,,The product can charge the battery from the AC wall outlet while delivering power through the AC output ports.,Le produit peut charger la batterie à partir d'une prise murale CA tout en fournissant de l'énergie via les ports de sortie CA.,El producto puede cargar la batería desde una toma de corriente CA mientras suministra energía a través de los puertos de salida CA.,,,,,,,,TRUE
ac_total,EU,JE-3600A,en,TRUE,specifications,2,,Indicates that two or more AC output ports work together.,Indique que deux ports de sortie CA ou plus fonctionnent ensemble.,Indica que dos o más puertos de salida CA trabajan en conjunto.,,,,,,,,TRUE
