spec_row_key,document_key,Model,Region,Source_lang,Version,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Row_label_fr,Param_fr,Value_fr,Row_label_es,Param_es,Value_es,Row_label_br,Param_br,Value_br,Row_label_de,Param_de,Value_de,Row_label_it,Param_it,Value_it,Row_label_uk,Param_uk,Value_uk,Row_label_ko,Param_ko,Value_ko
JE-3000C_EU__v2.0__Product_overview__s00__r00__total_output__front.spec__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,total_output,front.spec,Total Output,,1,,,"3600 W Rated, 7200 W Surge Peak",,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__usb_a__front.label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,usb_a,front.label,USB-A 18W Output,,1,,,USB-A 18 W Output,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__usb_a__front.spec__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,usb_a,front.spec,USB-A 18W Output,,1,,,"18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1.5 A",,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__usb_c__front.high.label__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,usb_c,front.high.label,USB-C 100W Output,,1,,,USB-C 100 W Output,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__Product_overview__s00__r00__usb_c__front.high.spec__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,Product overview,OUTPUT PORTS,,,usb_c,front.high.spec,USB-C 100W Output,,1,,,"100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A",,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__specifications__s01__r01__product_name__main__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,specifications,GENERAL INFO,1,1,product_name,,Product Name,,1,,,Jackery Explorer 3000,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__specifications__s01__r02__model_no__main__l02,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,specifications,GENERAL INFO,1,2,model_no,,Model No.,,2,,,JE-3000C,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__specifications__s01__r03__capacity__main__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,specifications,GENERAL INFO,1,3,capacity,,Capacity,,1,,,3072 Wh (60 Ah / 51.2 V DC),,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__specifications__s01__r04__cell_chemistry__main__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,specifications,GENERAL INFO,1,4,cell_chemistry,,Cell Chemistry,,1,,,LiFePO₄,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__specifications__s01__r05__weight__main__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,specifications,GENERAL INFO,1,5,weight,,Weight,,1,,,About 27 kg,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__specifications__s01__r06__dimensions__main__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,specifications,GENERAL INFO,1,6,dimensions,,Dimensions,,1,,,43.5 × 32.6 × 28.1 cm,,,,,,,,,,,,,,,,,,,,,,
JE-3000C_EU__v2.0__specifications__s01__r07__cycle_life__main__l01,JE-3000C_EU,JE-3000C,EU,en,2.0,TRUE,specifications,GENERAL INFO,1,7,cycle_life,,Cycle Life,,1,,,4000 cycles to 70%+ capacity,,,,,,,,,,,,,,,,,,,,,,
