document_key,Region,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Slot_key,Row_label_source,Row_label_footnote_refs,Line_order,Param_source,Param_footnote_refs,Value_source,Value_footnote_refs,Model,Source_lang
JA-CA05B_EU,EU,TRUE,specifications,GENERAL,1,1,product_name,,Product Name,,1,,,Jackery Solar Generator Connection Guide,,JA-CA05B,en
JA-CA05B_EU,EU,TRUE,specifications,GENERAL,1,2,model_no,,Model,,1,,,JA-CA05B,,JA-CA05B,en
