document_key,Region,Is_Latest,Page,Section,Section_order,Row_order,Row_key,Row_label_source,Line_order,Value_source,Model,Source_lang
JS-40C_EU,EU,TRUE,specifications,BASIC INFORMATION,1,1,product_name,Product Name,1,Jackery SolarSaga 40 Air,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,BASIC INFORMATION,1,2,model_no,Model,1,JS-40C,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,BASIC INFORMATION,1,3,dimensions_unfolded,"Dimensions (unfolded, excluding junction box)",1,962 × 339 × 2.5 mm,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,BASIC INFORMATION,1,4,dimensions_folded,"Dimensions (folded, excluding junction box)",1,232 × 339 × 20 mm,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,BASIC INFORMATION,1,5,weight,Weight,1,0.9 kg ± 0.2 kg,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,BASIC INFORMATION,1,6,ip_rating,IP Rating,1,IP68,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,BASIC INFORMATION,1,7,operating_temperature,Operating Temperature Range,1,-20°C to 65°C,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,1,maximum_power,Maximum Power (Pₘₐₓ),1,STC*: 42 W ± 5% / BNPI*: 47 W ± 5%,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,2,open_circuit_voltage,Open-Circuit Voltage (Vₒ꜀),1,STC*: 26 V ± 5% / BNPI*: 26 V ± 5%,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,3,short_circuit_current,Short-Circuit Current (Iₛ꜀),1,STC*: 2.1 A ± 5% / BNPI*: 2.3 A ± 5%,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,4,maximum_power_voltage,Maximum Power Voltage (Vₘₚ),1,STC*: 22.5 V ± 5% / BNPI*: 22.5 V ± 5%,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,5,maximum_power_current,Maximum Power Current (Iₘₚ),1,STC*: 1.9 A ± 5% / BNPI*: 2.12 A ± 5%,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,6,maximum_system_voltage,Maximum System Voltage,1,30 V,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,7,maximum_reverse_current,Maximum Reverse Current,1,6 A,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,8,protection_class,Protection Class Against Electric Shock,1,Class III,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,9,bifaciality_coefficient,"Bifaciality Coefficient (back/front)",1,"Pₘₐₓ > 75%, Vₒ꜀ > 95%, Iₛ꜀ > 70%",JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,10,voltage_temperature_coefficient,Voltage Temperature Coefficient,1,-0.3%/°C,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,11,power_temperature_coefficient,Power Temperature Coefficient,1,-0.39%/°C,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,ELECTRICAL DATA,2,12,photovoltaic_consumer_products,Photovoltaic Consumer Products,1,IEC TS 63163 Consumer Product Category 1,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,MULTIFUNCTIONAL ADAPTER,3,1,usb_a_output,USB-A Output,1,5 V⎓2.4 A,JS-40C,en
JS-40C_EU,EU,TRUE,specifications,MULTIFUNCTIONAL ADAPTER,3,2,usb_c_output,USB-C Output,1,5 V⎓3 A,JS-40C,en
