Footnote_id,Region,Model,Source_lang,Is_Latest,Page,Footnote_order,Type,Text_en,Text_fr,Text_es,Text_pt-BR,pt-BR,Text_ja,Text_zh,Text_de,Text_it,Text_uk,Enabled
ac_bypass,EU,JE-1000H,en,TRUE,specifications,1,,The product can charge the battery from the AC wall outlet while delivering power through the AC output ports.,Le produit peut charger la batterie à partir d'une prise murale CA tout en fournissant de l'énergie via les ports de sortie CA.,El producto puede cargar la batería desde una toma de corriente CA mientras suministra energía a través de los puertos de salida CA.,,O produto pode carregar a bateria a partir da tomada CA enquanto fornece energia pelas portas de saída CA.,,,Das Produkt kann den Akku über die Steckdose aufladen und gleichzeitig Strom über die AC-Ausgangsports liefern.,Il prodotto può caricare la batteria dalla presa a muro CA mentre fornisce energia tramite le porte di uscita CA.,"Продукт може заряджати акумулятор від мережевої розетки змінного струму або ATS, одночасно подаючи живлення через вихідні порти змінного струму.",TRUE
ac_total_output,EU,JE-1000H,en,TRUE,specifications,2,,Indicates that two or more AC output ports work together.,Indique que deux ports de sortie CA ou plus fonctionnent ensemble.,Indica que dos o más puertos de salida CA trabajan en conjunto.,,O produto pode carregar a bateria a partir da tomada CA enquanto fornece energia pelas portas de saída CA.,,,"Zeigt an, dass zwei oder mehr AC-Ausgangsanschlüsse gemeinsam arbeiten.",Indica che due o più porte di uscita CA funzionano insieme.,"Вказує, що два або більше вихідних портів змінного струму працюють разом.",TRUE
