copy_key,source_lang,target_lang,source_text
product_overview.front_view,en,uk,FRONT VIEW
product_overview.page_title,en,uk,PRODUCT OVERVIEW
product_overview.part.handle,en,uk,Handle
product_overview.part.lcd,en,uk,LCD
product_overview.part.led_light,en,uk,LED Light
product_overview.part.led_light_button,en,uk,LED Light Button
product_overview.right_side_view,en,uk,RIGHT SIDE VIEW
