copy_key,en,fr,es,pt-BR,ja,zh,de,it,uk
safety_warning,WARNING,AVERTISSEMENT,ADVERTENCIA,,,,WARNUNG,AVVERTENZA,ПОПЕРЕДЖЕННЯ
symbols_notice,DANGER,AVERTISSEMENT,ADVERTENCIA,,,,WARNUNG,AVVERTENZA,ПОПЕРЕДЖЕННЯ
warning,WARNING,AVERTISSEMENT,ADVERTENCIA,,,,WARNUNG,AVVERTENZA,ПОПЕРЕДЖЕННЯ
danger,DANGER,ATTENTION,PELIGRO,,,,GEFAHR,PERICOLO,НЕБЕЗПЕКА
caution,CAUTION,ATTENTION,PRECAUCIÓN,,,,VORSICHT,ATTENZIONE,УВАГА
note,NOTE,REMARQUE,NOTA,,,,HINWEIS,NOTA,ПРИМІТКА
tips,TIP,CONSEILS,CONSEJOS,,,,TIPP,SUGGERIMENTO,ПОРАДА
