"Region","Is_Latest","Page","Section","Section_order","Row_key","Slot_key","Row_label_source","Row_label_footnote_refs","Line_order","Param_source","Param_footnote_refs","Value_source","Value_footnote_refs","Row_label_fr","Param_fr","Value_fr","Row_label_es","Model","Param_es","Value_es","Source_lang"
"CN","TRUE","specifications","OUTPUT PORTS","3","ac_output_bypass","","AC????","","1","","","220V-240V~50Hz???10A","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","OUTPUT PORTS","3","usb_c","","USB-C????","","1","","","1 ? USB-C 140W?5V?3A?9V?3A?12V?3A?15V?3A?20V?5A?28V?5A???140W","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","OUTPUT PORTS","3","usb_c","","USB-C????","","2","","","1 ? USB-C 30W?5V?3A?9V?3A?12V?2.5A?15V?2A?20V?1.5A???30W","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","OUTPUT PORTS","3","usb_a","","1 ? USB-A 18W","","1","","","5-6V?3A?6-9V?2A?9-12V?1.5A???18W","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","OUTPUT PORTS","3","dc12_port","","1 ? DC 12V???","","1","","","12V???10A","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","OUTPUT PORTS","3","parallel_port","","????","","1","","","220V~50Hz???3500W","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","OUTPUT PORTS","3","ac_parallel_output","","AC????","","1","","","220V~50Hz?32A???7000W?????14000W","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","OUTPUT PORTS","3","battery_pack_connection_port","","???????","","1","","","36.8V-57.6V???55A","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","ENVIRONMENTAL OPERATING TEMPERATURE","4","charging_temperature","","????","","1","","","-20?~45?","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","ENVIRONMENTAL OPERATING TEMPERATURE","4","discharging_temperature","","????","","1","","","-20?~45?","","","","","","JE-2000E","","","zh"
"CN","TRUE","storage","ENVIRONMENTAL OPERATING TEMPERATURE","4","storage_temperature","","????","","1","1??","","-20?C?45?C?0?60%RH?","","","","","","JE-2000E","","","zh"
"CN","TRUE","storage","ENVIRONMENTAL OPERATING TEMPERATURE","4","storage_temperature","","????","","2","3??","","0?C?45?C?0?60%RH?","","","","","","JE-2000E","","","zh"
"CN","TRUE","storage","ENVIRONMENTAL OPERATING TEMPERATURE","4","storage_temperature","","????","","3","12??","","0?C?25?C?0?60%RH?","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","CONTROLS","7","main_power_button","label","Main Power Button","","1","","","??????","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","CONTROLS","7","dc_usb_power_button","label","DC/USB Power Button","","1","","","DC/USB????","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","CONTROLS","7","ac_power_button","label","AC Power Button","","1","","","AC????","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","dc12_port","front.label","DC 12V Port","","1","","","DC 12V???","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","dc12_port","front.spec","DC 12V Port","","1","","","12V???10A","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.low.label","USB-C 30W Output","","1","","","USB-C 30W????","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.low.spec","USB-C 30W Output","","1","","","5V?3A?9V?3A?12V?2.5A?15V?2A?20V?1.5A???30W","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.high.label","USB-C 140W Output","","1","","","USB-C 140W????","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.high.spec","USB-C 140W Output","","1","","","5V?3A?9V?3A?12V?3A?15V?3A?20V?5A?28V?5A???140W","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","usb_a","front.label","USB-A 18W Output","","1","","","USB-A 18W????","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","usb_a","front.spec","USB-A 18W Output","","1","","","5-6V?3A?6-9V?2A?9-12V?1.5A???18W","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","ac_output","front.label","AC Output","","1","","","AC????","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","ac_output","front.spec","AC Output","","1","","","220V~50Hz?10.9A???2400W","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","total_output","front.label","Total Output","","1","","","AC???","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","OUTPUT PORTS","3","total_output","front.spec","Total Output","","1","","","3???2400W?????4800W?","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","INPUT PORTS","2","dc_input","side.label","DC Input (2 x DC8020 Ports)","","1","","","DC?????2?DC8020??","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","INPUT PORTS","2","dc_input","side.pv.spec","PV Input","","1","","","???16V-60V?12A?????21A/??800W","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","INPUT PORTS","2","dc_input","side.car.spec","Car Input","","1","","","???11V-16V???8A?????8A","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","INPUT PORTS","2","ac_input","side.label","AC Input","","1","","","AC????","","","","","","JE-2000E","","","zh"
"CN","TRUE","Product overview","INPUT PORTS","2","ac_input","side.spec","AC Input","","1","","","220V-240V~50Hz???10A","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","SETTINGS","8","default_standby_duration","value","Default Standby Duration","","1","","","2??","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","SETTINGS","8","energy_saving_auto_off_duration","value","Energy Saving Auto Off Duration","","1","","","12??","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","SETTINGS","8","energy_saving_ac_threshold","value","Energy Saving AC Threshold","","1","","","25W","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","SETTINGS","8","energy_saving_dc_threshold","value","Energy Saving DC Threshold","","1","","","2W","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","OUTPUT PORTS","3","usb_c_high_power_port","label","USB-C 140W Port","","1","","","USB-C 140W????","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","OUTPUT PORTS","3","ups_bypass_output","text","UPS Bypass Output","","1","","","220V-240V~50Hz???10A","","","","","","JE-2000E","","","zh"
"CN","TRUE","specifications","ACCESSORIES","9","battery_pack_name","value","Battery Pack Name","","1","","","??????2000","","","","","","JE-2000E","","","zh"
